# argv: /bin/ps -Ao pid,ppid,rss,%cpu,state,comm
# exit: 0
# at:   2026-08-24T12:51:22.075Z
#
  PID  PPID    RSS  %CPU STAT COMM
  452     1   9216   0.0 Ss   /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd
  453     1  12512   0.0 Ss   /usr/libexec/biometrickitd
  454     1  10736   0.0 Ss   /usr/libexec/secinitd
  455     1  10512   0.0 Ss   /usr/libexec/containermanagerd_system
  456     1   8352   0.0 Ss   /usr/libexec/trustdFileHelper
  457     1   5728   0.0 S    /usr/sbin/distnoted
  459     1   9472   0.0 Ss   /usr/sbin/mDNSResponderHelper
  460     1   6176   0.0 Ss   /usr/libexec/ApplicationFirewall/socketfilterfw
  464     1 157440   0.0 Ss   /usr/libexec/mobileassetd
  466     1  15376   0.0 Ss   /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  490     1   3680   0.0 Ss   /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  502     1   6160   0.0 S    /usr/sbin/distnoted
  505     1  19408   0.0 Ss   /usr/libexec/symptomsd
  516     1  12560   0.0 Ss   /System/Library/CoreServices/osanalyticshelper
  519     1  10208   0.0 Ss   /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
  525     1  12848   0.0 Ss   /usr/libexec/eligibilityd
  526     1   4624   0.0 Ss   /usr/libexec/hidd
  528     1   5744   0.0 S    /usr/sbin/distnoted
  532     1  15824   0.0 Ss   /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
  533     1   4928   0.0 Ss   /usr/libexec/cryptexd
  534     1  97776   0.0 Ss   /usr/libexec/syspolicyd
  535     1   9600   0.0 Ss   /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  536     1  43744   0.0 Ss   /usr/libexec/airportd
  537     1   9680   0.0 Ss   /System/Library/CoreServices/TimeMachine/backupd
